Round,Name,Score,Duration of the round,Max Player latency,Server Start Time,Server End Time,Client Start Time,Client Latency,Client Send Time,Server Receive Time,Too Late,Winner
1,I6,96,6,10,18:11:00:228434,18:11:06:232066,16:11:00.236,4.802,16:11:05.040,18:11:05:090896,No,Yes
1,I8,0,6,10,,18:11:06:232066,,,,,No,No
1,L1,88,6,10,18:11:00:228434,18:11:06:232066,16:11:00.364,4.173,16:11:04.568,18:11:04:525937,No,No
2,I6,0,6,10,,18:11:17:241294,,,,,No,No
2,I8,94,6,10,18:11:11:237988,18:11:17:241294,16:11:11.235,3.025,16:11:14.261,18:11:14:458106,No,Yes
2,L1,21,6,10,18:11:11:237988,18:11:17:241294,16:11:11.325,5.457,16:11:16.783,18:11:16:813045,No,No
3,I6,0,6,10,,18:11:28:252175,,,,,No,No
3,I8,55,6,10,18:11:22:248728,18:11:28:252175,16:11:22.192,3.084,16:11:25.277,18:11:25:382681,No,Yes
3,L1,0,6,10,,18:11:28:252175,,,,,No,No
4,I6,94,6,10,18:11:33:259721,18:11:39:264576,16:11:33.310,4.335,16:11:37.647,18:11:37:693845,No,Yes
4,I8,28,6,10,18:11:33:259721,18:11:39:264576,16:11:33.251,3.711,16:11:36.963,18:11:37:070322,No,No
4,L1,0,6,10,,18:11:39:264576,,,,,No,No
5,I6,6,6,10,18:11:44:273523,18:11:50:275495,16:11:44.267,4.653,16:11:48.921,18:11:49:067367,No,No
5,I8,74,6,10,18:11:44:273523,18:11:50:275495,16:11:44.209,1.645,16:11:45.855,18:11:45:961162,No,Yes
5,L1,11,6,10,18:11:44:273523,18:11:50:275495,16:11:44.359,5.312,16:11:49.674,18:11:49:620471,No,No
6,I6,4,6,10,18:11:55:280696,18:12:01:283613,16:11:55.327,4.413,16:11:59.741,18:11:59:821663,No,No
6,I8,27,6,10,18:11:55:280696,18:12:01:283613,16:11:55.268,4.710,16:11:59.979,18:12:00:077828,No,No
6,L1,88,6,10,18:11:55:280696,18:12:01:283613,16:11:55.369,5.670,16:12:01.042,18:12:00:987103,No,Yes
7,I6,75,6,10,18:12:06:290396,18:12:12:294482,16:12:06.386,3.035,16:12:09.422,18:12:09:467173,No,Yes
7,I8,60,6,10,18:12:06:290396,18:12:12:294482,16:12:06.327,2.607,16:12:08.934,18:12:09:139083,No,No
7,L1,52,6,10,18:12:06:290396,18:12:12:294482,16:12:06.379,4.136,16:12:10.527,18:12:10:472067,No,No
8,I6,0,6,10,,18:12:23:306065,,,,,No,No
8,I8,92,6,10,18:12:17:302271,18:12:23:306065,16:12:17.284,2.242,16:12:19.527,18:12:19:629480,No,Yes
8,L1,51,6,10,18:12:17:302271,18:12:23:306065,16:12:17.390,1.070,16:12:18.470,18:12:18:414560,No,No
9,I6,46,6,10,18:12:28:312119,18:12:34:315142,16:12:28.401,1.778,16:12:30.180,18:12:30:227802,No,No
9,I8,74,6,10,18:12:28:312119,18:12:34:315142,16:12:28.344,1.617,16:12:29.960,18:12:30:064410,No,Yes
9,L1,26,6,10,18:12:28:312119,18:12:34:315142,16:12:28.399,4.039,16:12:32.437,18:12:32:486335,No,No
10,I6,0,6,10,,18:12:45:327628,,,,,No,No
10,I8,1,6,10,18:12:39:324208,18:12:45:327628,16:12:39.300,2.587,16:12:41.888,18:12:41:993823,No,No
10,L1,68,6,10,18:12:39:324208,18:12:45:327628,16:12:39.414,3.130,16:12:42.549,18:12:42:493446,No,Yes
11,I6,0,6,10,,18:12:56:339178,,,,,No,No
11,I8,17,6,10,18:12:50:335688,18:12:56:339178,16:12:50.359,0.451,16:12:50.810,18:12:50:916317,No,No
11,L1,62,6,10,18:12:50:335688,18:12:56:339178,16:12:50.428,4.193,16:12:54.627,18:12:54:604568,No,Yes
